ID	ouverture	angle	angle	ouverture
1	43.8	0	0	43.76843224
2	43.9	0.400738423	0.1	43.7785395
3	44	0.872863761	0.2	43.79878371
4	44.1	1.325689824	0.3	43.81921029
5	44.2	1.76231481	0.4	43.83983494
6	44.3	2.184995357	0.5	43.86070927
7	44.4	2.59560414	0.6	43.88164771
8	44.5	2.991516603	0.7	43.90260667
9	44.6	3.378711781	0.8	43.92426391
10	44.7	3.755017044	0.9	43.94549166
11	44.8	4.124090823	1	43.96727982
12	44.9	4.482278343	1.1	43.98948351
13	45	4.83099888	1.2	44.01143494
14	45.1	5.172580904	1.3	44.03346344
15	45.2	5.510149304	1.4	44.05600819
16	45.3	5.842273122	1.5	44.07840817
17	45.4	6.162190477	1.6	44.10178381
18	45.5	6.479282878	1.7	44.12419322
19	45.6	6.792728181	1.8	44.14746115
20	45.7	7.095953827	1.9	44.17090099
21	45.8	7.399648991	2	44.19445387
22	45.9	7.697427166	2.1	44.21806093
23	46	7.988593007	2.2	44.2424369
24	46.1	8.272482157	2.3	44.26599924
25	46.2	8.554783446	2.4	44.29025971
26	46.3	8.835181021	2.5	44.31522944
27	46.4	9.11336736	2.6	44.34005172
28	46.5	9.382434131	2.7	44.36466679
29	46.6	9.655217958	2.8	44.38992889
30	46.7	9.918134428	2.9	44.41491064
31	46.8	10.17752521	3	44.44051192
32	46.9	10.44008066	3.1	44.46575892
33	47	10.69172813	3.2	44.49159688
34	47.1	10.94619948	3.3	44.51700606
35	47.2	11.19630175	3.4	44.54297668
36	47.3	11.44179958	3.5	44.56951629
37	47.4	11.68979483	3.6	44.59663251
38	47.5	11.92547718	3.7	44.62321372
39	47.6	12.17082878	3.8	44.64919912
40	47.7	12.40343599	3.9	44.67685505
41	47.8	12.63809655	4	44.70388332
42	47.9	12.87480489	4.1	44.73143145
43	48	13.09809063	4.2	44.75827417
44	48.1	13.33095161	4.3	44.7868579
45	48.2	13.55785897	4.4	44.814703
46	48.3	13.77862433	4.5	44.84304685
47	48.4	14.00103825	4.6	44.87057291
48	48.5	14.21706608	4.7	44.89856375
49	48.6	14.44270567	4.8	44.92839157
50	48.7	14.65369288	4.9	44.95596029
51	48.8	14.86608694	5	44.98537636
52	48.9	15.07988433	5.1	45.01527794
53	49	15.29508147	5.2	45.04421186
54	49.1	15.50331849	5.3	45.07359555
55	49.2	15.71284313	5.4	45.10343367
56	49.3	15.91519519	5.5	45.13373088
57	49.4	16.11872806	5.6	45.16294275
58	49.5	16.32343886	5.7	45.19414877
59	49.6	16.52072268	5.8	45.2242326
60	49.7	16.72773181	5.9	45.2547475
61	49.8	16.9272128	6	45.28569763
62	49.9	17.11902315	6.1	45.31708716
63	50	17.32059763	6.2	45.34723374
64	50.1	17.51440564	6.3	45.37949103
65	50.2	17.70031201	6.4	45.41046731
66	50.3	17.89601985	6.5	45.44185277
67	50.4	18.08373545	6.6	45.47365109
68	50.5	18.27233151	6.7	45.50586593
69	50.6	18.46180598	6.8	45.538501
70	50.7	18.65215681	6.9	45.57156002
71	50.8	18.83425617	7	45.60317508
72	50.9	19.026312	7.1	45.63706919
73	51	19.2008267	7.2	45.66947968
74	51.1	19.38529425	7.3	45.7022814
75	51.2	19.57054757	7.4	45.73547758
76	51.3	19.74726437	7.5	45.76907146
77	51.4	19.92468709	7.6	45.80306628
78	51.5	20.10281417	7.7	45.83746531
79	51.6	20.28164401	7.8	45.87021305
80	51.7	20.46117501	7.9	45.90540611
81	51.8	20.63190235	8	45.93890703
82	51.9	20.8127942	8.1	45.9749066
83	52	20.98480787	8.2	46.0091725
84	52.1	21.15744522	8.3	46.04381359
85	52.2	21.33070487	8.4	46.07883266
86	52.3	21.49490915	8.5	46.11423255
87	52.4	21.66937486	8.6	46.15001608
88	52.5	21.83471571	8.7	46.18618611
89	52.6	22.00060681	8.8	46.22044906
90	52.7	22.16704697	8.9	46.25737607
91	52.8	22.33403501	9	46.29235375
92	52.9	22.50156974	9.1	46.33004854
93	53	22.66964997	9.2	46.36575112
94	53.1	22.82834035	9.3	46.40180813
95	53.2	22.98751188	9.4	46.44066233
96	53.3	23.15715769	9.5	46.47745949
97	53.4	23.31731839	9.6	46.5146185
98	53.5	23.47795714	9.7	46.5521418
99	53.6	23.63907294	9.8	46.59003184
100	53.7	23.79055134	9.9	46.62572891
101	53.8	23.95258849	10	46.66433493
102	53.9	24.11509969	10.1	46.70331491
103	54	24.26788355	10.2	46.74003581
104	54.1	24.42108229	10.3	46.77974581
105	54.2	24.57469507	10.4	46.81983706
106	54.3	24.72872104	10.5	46.85760175
107	54.4	24.88315933	10.6	46.89570278
108	54.5	25.0380091	10.7	46.93690086
109	54.6	25.19326947	10.8	46.97570511
110	54.7	25.34893959	10.9	47.01485201
111	54.8	25.49460063	11	47.05434363
112	54.9	25.65106048	11.1	47.09418204
113	55	25.79745709	11.2	47.13436932
